date,lhin,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_negative,confirmed_positive_ventilator,non_covid,critical_care_pct,vented_pct,confirmed_positive_pct,confirmed_negative_pct,suspected_covid_pct,non_covid_pct,residual_beds,residual_ventilators
2020-03-28,Central,153,125,130,67,32,19.0,14,5.0,13,74.0,0.8169934640522876,0.5153846153846153,0.112,0.04,0.256,0.592,28,63
2020-03-28,Central East,163,130,109,70,35,25.0,16,3.0,13,76.0,0.7975460122699386,0.6422018348623854,0.12307692307692308,0.023076923076923078,0.2692307692307692,0.5846153846153846,33,39
2020-03-28,Central West,68,32,26,18,6,4.0,2,1.0,1,23.0,0.47058823529411764,0.6923076923076923,0.0625,0.03125,0.1875,0.71875,36,8
2020-03-28,Champlain,199,142,119,47,39,15.0,9,6.0,4,88.0,0.7135678391959799,0.3949579831932773,0.06338028169014084,0.04225352112676056,0.2746478873239437,0.6197183098591549,57,72
2020-03-28,Erie St. Clair,87,63,73,32,27,14.0,8,1.0,8,27.0,0.7241379310344828,0.4383561643835616,0.12698412698412698,0.015873015873015872,0.42857142857142855,0.42857142857142855,24,41
2020-03-28,Hamilton Niagara Haldimand Brant,271,212,172,65,32,12.0,6,30.0,4,144.0,0.7822878228782287,0.37790697674418605,0.02830188679245283,0.14150943396226415,0.1509433962264151,0.6792452830188679,59,107
2020-03-28,Mississauga Halton,130,120,116,55,34,22.0,3,3.0,2,80.0,0.9230769230769231,0.47413793103448276,0.025,0.025,0.2833333333333333,0.6666666666666666,10,61
2020-03-28,North East,102,63,53,9,13,0.0,0,0.0,0,50.0,0.6176470588235294,0.16981132075471697,0.0,0.0,0.20634920634920634,0.7936507936507936,39,44
2020-03-28,North Simcoe Muskoka,48,32,26,2,8,1.0,2,4.0,0,18.0,0.6666666666666666,0.07692307692307693,0.0625,0.125,0.25,0.5625,16,24
2020-03-28,North West,30,19,16,6,1,1.0,0,0.0,0,18.0,0.6333333333333333,0.375,0.0,0.0,0.05263157894736842,0.9473684210526315,11,10
2020-03-28,South East,103,91,57,27,12,7.0,2,2.0,2,75.0,0.883495145631068,0.47368421052631576,0.02197802197802198,0.02197802197802198,0.13186813186813187,0.8241758241758241,12,30
2020-03-28,South West,187,145,98,25,23,9.0,9,11.0,6,102.0,0.7754010695187166,0.25510204081632654,0.06206896551724138,0.07586206896551724,0.15862068965517243,0.7034482758620689,42,73
2020-03-28,Toronto Central,373,286,266,80,57,24.0,14,29.0,6,186.0,0.7667560321715817,0.3007518796992481,0.04895104895104895,0.10139860139860139,0.1993006993006993,0.6503496503496503,87,186
2020-03-28,Waterloo Wellington,98,74,58,27,23,11.0,7,5.0,5,39.0,0.7551020408163265,0.46551724137931033,0.0945945945945946,0.06756756756756757,0.3108108108108108,0.527027027027027,24,31
2020-03-29,Central,153,126,130,66,35,21.0,15,5.0,13,71.0,0.8235294117647058,0.5076923076923077,0.11904761904761904,0.03968253968253968,0.2777777777777778,0.5634920634920635,27,64
2020-03-29,Central East,163,138,109,77,37,27.0,20,2.0,14,79.0,0.8466257668711656,0.7064220183486238,0.14492753623188406,0.014492753623188406,0.26811594202898553,0.572463768115942,25,32
2020-03-29,Central West,68,34,26,20,7,4.0,2,1.0,1,24.0,0.5,0.7692307692307693,0.058823529411764705,0.029411764705882353,0.20588235294117646,0.7058823529411765,34,6
2020-03-29,Champlain,199,140,119,22,39,8.0,4,7.0,3,90.0,0.7035175879396985,0.18487394957983194,0.02857142857142857,0.05,0.2785714285714286,0.6428571428571429,59,97
2020-03-29,Erie St. Clair,87,65,73,27,28,15.0,8,1.0,5,28.0,0.7471264367816092,0.3698630136986301,0.12307692307692308,0.015384615384615385,0.4307692307692308,0.4307692307692308,22,46
2020-03-29,Hamilton Niagara Haldimand Brant,271,196,172,40,25,6.0,11,29.0,3,131.0,0.7232472324723247,0.23255813953488372,0.05612244897959184,0.14795918367346939,0.12755102040816327,0.6683673469387755,75,132
2020-03-29,Mississauga Halton,130,120,116,47,37,20.0,3,3.0,1,77.0,0.9230769230769231,0.4051724137931034,0.025,0.025,0.30833333333333335,0.6416666666666667,10,69
2020-03-29,North East,102,62,53,6,14,3.0,0,0.0,0,48.0,0.6078431372549019,0.11320754716981132,0.0,0.0,0.22580645161290322,0.7741935483870968,40,47
2020-03-29,North Simcoe Muskoka,48,24,26,1,8,0.0,1,4.0,0,11.0,0.5,0.038461538461538464,0.041666666666666664,0.16666666666666666,0.3333333333333333,0.4583333333333333,24,25
2020-03-29,North West,30,23,16,6,3,2.0,0,1.0,0,19.0,0.7666666666666667,0.375,0.0,0.043478260869565216,0.13043478260869565,0.8260869565217391,7,10
2020-03-29,South East,103,89,57,26,13,6.0,3,3.0,2,70.0,0.8640776699029126,0.45614035087719296,0.033707865168539325,0.033707865168539325,0.14606741573033707,0.7865168539325843,14,31
2020-03-29,South West,187,143,98,23,29,9.0,8,10.0,6,96.0,0.7647058823529411,0.23469387755102042,0.055944055944055944,0.06993006993006994,0.20279720279720279,0.6713286713286714,44,75
2020-03-29,Toronto Central,373,277,266,53,54,16.0,16,29.0,6,178.0,0.7426273458445041,0.19924812030075187,0.05776173285198556,0.10469314079422383,0.19494584837545126,0.6425992779783394,96,213
