id,date,region,category,value
1,2020-02-16,Canada,Retail & recreation,12.84
2,2020-02-17,Canada,Retail & recreation,-12.04
3,2020-02-18,Canada,Retail & recreation,-1.33
4,2020-02-19,Canada,Retail & recreation,0.82
5,2020-02-20,Canada,Retail & recreation,5.69
6,2020-02-21,Canada,Retail & recreation,1.6
7,2020-02-22,Canada,Retail & recreation,7.71
8,2020-02-23,Canada,Retail & recreation,9.65
9,2020-02-24,Canada,Retail & recreation,2.54
10,2020-02-25,Canada,Retail & recreation,1.88
11,2020-02-26,Canada,Retail & recreation,-1.68
12,2020-02-27,Canada,Retail & recreation,-7.99
13,2020-02-28,Canada,Retail & recreation,-0.61
14,2020-02-29,Canada,Retail & recreation,6.82
15,2020-03-01,Canada,Retail & recreation,10.26
16,2020-03-02,Canada,Retail & recreation,3.49
17,2020-03-03,Canada,Retail & recreation,4.2
18,2020-03-04,Canada,Retail & recreation,4.75
19,2020-03-05,Canada,Retail & recreation,7.41
20,2020-03-06,Canada,Retail & recreation,1.29
21,2020-03-07,Canada,Retail & recreation,6.5
22,2020-03-08,Canada,Retail & recreation,9.19
23,2020-03-09,Canada,Retail & recreation,3.88
24,2020-03-10,Canada,Retail & recreation,-0.61
25,2020-03-11,Canada,Retail & recreation,3.46
26,2020-03-12,Canada,Retail & recreation,7.25
27,2020-03-13,Canada,Retail & recreation,-4.73
28,2020-03-14,Canada,Retail & recreation,-10.89
29,2020-03-15,Canada,Retail & recreation,-11.55
30,2020-03-16,Canada,Retail & recreation,-11.57
31,2020-03-17,Canada,Retail & recreation,-26.65
32,2020-03-18,Canada,Retail & recreation,-32.81
33,2020-03-19,Canada,Retail & recreation,-35.76
34,2020-03-20,Canada,Retail & recreation,-43.6
35,2020-03-21,Canada,Retail & recreation,-48.91
36,2020-03-22,Canada,Retail & recreation,-51.27
37,2020-03-23,Canada,Retail & recreation,-45.48
38,2020-03-24,Canada,Retail & recreation,-49.46
39,2020-03-25,Canada,Retail & recreation,-53.39
40,2020-03-26,Canada,Retail & recreation,-54.03
41,2020-03-27,Canada,Retail & recreation,-54.69
42,2020-03-28,Canada,Retail & recreation,-59.4
43,2020-03-29,Canada,Retail & recreation,-59.05
44,2020-02-16,Canada,Grocery & pharmacy,7.59
45,2020-02-17,Canada,Grocery & pharmacy,-15.12
46,2020-02-18,Canada,Grocery & pharmacy,4.28
47,2020-02-19,Canada,Grocery & pharmacy,1.4
48,2020-02-20,Canada,Grocery & pharmacy,3.69
49,2020-02-21,Canada,Grocery & pharmacy,-0.73
50,2020-02-22,Canada,Grocery & pharmacy,4.97
51,2020-02-23,Canada,Grocery & pharmacy,6.12
52,2020-02-24,Canada,Grocery & pharmacy,2.22
53,2020-02-25,Canada,Grocery & pharmacy,5.29
54,2020-02-26,Canada,Grocery & pharmacy,1.54
55,2020-02-27,Canada,Grocery & pharmacy,-8.86
56,2020-02-28,Canada,Grocery & pharmacy,0.7
57,2020-02-29,Canada,Grocery & pharmacy,6.65
58,2020-03-01,Canada,Grocery & pharmacy,9.37
59,2020-03-02,Canada,Grocery & pharmacy,3.28
60,2020-03-03,Canada,Grocery & pharmacy,5.53
61,2020-03-04,Canada,Grocery & pharmacy,3.52
62,2020-03-05,Canada,Grocery & pharmacy,4.97
63,2020-03-06,Canada,Grocery & pharmacy,-0.67
64,2020-03-07,Canada,Grocery & pharmacy,4.94
65,2020-03-08,Canada,Grocery & pharmacy,7.35
66,2020-03-09,Canada,Grocery & pharmacy,4.16
67,2020-03-10,Canada,Grocery & pharmacy,0.9
68,2020-03-11,Canada,Grocery & pharmacy,6.7
69,2020-03-12,Canada,Grocery & pharmacy,27.4
70,2020-03-13,Canada,Grocery & pharmacy,34.64
71,2020-03-14,Canada,Grocery & pharmacy,19.19
72,2020-03-15,Canada,Grocery & pharmacy,11.31
73,2020-03-16,Canada,Grocery & pharmacy,22.54
74,2020-03-17,Canada,Grocery & pharmacy,12.57
75,2020-03-18,Canada,Grocery & pharmacy,6.6
76,2020-03-19,Canada,Grocery & pharmacy,3.51
77,2020-03-20,Canada,Grocery & pharmacy,-5.27
78,2020-03-21,Canada,Grocery & pharmacy,-12.11
79,2020-03-22,Canada,Grocery & pharmacy,-20.97
80,2020-03-23,Canada,Grocery & pharmacy,-13.11
81,2020-03-24,Canada,Grocery & pharmacy,-15.27
82,2020-03-25,Canada,Grocery & pharmacy,-20.85
83,2020-03-26,Canada,Grocery & pharmacy,-20.87
84,2020-03-27,Canada,Grocery & pharmacy,-20.53
85,2020-03-28,Canada,Grocery & pharmacy,-27.08
86,2020-03-29,Canada,Grocery & pharmacy,-34.65
87,2020-02-16,Canada,Parks,40.65
88,2020-02-17,Canada,Parks,62.82
89,2020-02-18,Canada,Parks,6.02
90,2020-02-19,Canada,Parks,9.32
91,2020-02-20,Canada,Parks,13.54
92,2020-02-21,Canada,Parks,10.23
93,2020-02-22,Canada,Parks,27.85
94,2020-02-23,Canada,Parks,36.0
95,2020-02-24,Canada,Parks,18.65
96,2020-02-25,Canada,Parks,8.96
97,2020-02-26,Canada,Parks,0.64
98,2020-02-27,Canada,Parks,-5.99
99,2020-02-28,Canada,Parks,-5.1
100,2020-02-29,Canada,Parks,10.5
102,2020-03-02,Canada,Parks,1.02
104,2020-03-04,Canada,Parks,10.9
112,2020-03-12,Canada,Parks,11.47
114,2020-03-14,Canada,Parks,-8.16
116,2020-03-16,Canada,Parks,14.77
118,2020-03-18,Canada,Parks,14.21
120,2020-03-20,Canada,Parks,-7.85
122,2020-03-22,Canada,Parks,3.98
124,2020-03-24,Canada,Parks,-9.86
126,2020-03-26,Canada,Parks,-17.96
128,2020-03-28,Canada,Parks,-30.06
130,2020-02-16,Canada,Transit stations,4.32
132,2020-02-18,Canada,Transit stations,-1.29
134,2020-02-20,Canada,Transit stations,-0.91
136,2020-02-22,Canada,Transit stations,6.07
138,2020-02-24,Canada,Transit stations,-0.67
140,2020-02-26,Canada,Transit stations,-1.56
142,2020-02-28,Canada,Transit stations,1.02
144,2020-03-01,Canada,Transit stations,5.55
146,2020-03-03,Canada,Transit stations,-2.35
148,2020-03-05,Canada,Transit stations,-0.98
150,2020-03-07,Canada,Transit stations,2.82
152,2020-03-09,Canada,Transit stations,-2.78
154,2020-03-11,Canada,Transit stations,-2.77
156,2020-03-13,Canada,Transit stations,-17.26
158,2020-03-15,Canada,Transit stations,-21.82
160,2020-03-17,Canada,Transit stations,-45.12
162,2020-03-19,Canada,Transit stations,-52.04
164,2020-03-21,Canada,Transit stations,-49.07
166,2020-03-23,Canada,Transit stations,-63.17
168,2020-03-25,Canada,Transit stations,-65.41
170,2020-03-27,Canada,Transit stations,-66.42
172,2020-03-29,Canada,Transit stations,-65.61
174,2020-02-17,Canada,Workplace,-52.26
176,2020-02-19,Canada,Workplace,0.32
178,2020-02-21,Canada,Workplace,-2.59
180,2020-02-23,Canada,Workplace,4.9
182,2020-02-25,Canada,Workplace,3.19
184,2020-02-27,Canada,Workplace,-5.24
186,2020-02-29,Canada,Workplace,6.68
188,2020-03-02,Canada,Workplace,-0.98
190,2020-03-04,Canada,Workplace,-0.85
192,2020-03-06,Canada,Workplace,-1.07
194,2020-03-08,Canada,Workplace,4.03
196,2020-03-10,Canada,Workplace,1.27
198,2020-03-12,Canada,Workplace,1.96
200,2020-03-14,Canada,Workplace,-0.81
202,2020-03-16,Canada,Workplace,-26.79
204,2020-03-18,Canada,Workplace,-39.89
206,2020-03-20,Canada,Workplace,-45.45
208,2020-03-22,Canada,Workplace,-35.1
210,2020-03-24,Canada,Workplace,-54.51
212,2020-03-26,Canada,Workplace,-59.23
214,2020-03-28,Canada,Workplace,-44.05
216,2020-02-16,Canada,Residential,-1.62
218,2020-02-18,Canada,Residential,0.86
220,2020-02-20,Canada,Residential,-0.17
222,2020-02-22,Canada,Residential,-0.71
224,2020-02-24,Canada,Residential,-0.02
226,2020-02-26,Canada,Residential,0.85
228,2020-02-28,Canada,Residential,1.23
230,2020-03-01,Canada,Residential,-0.77
232,2020-03-03,Canada,Residential,0.34
234,2020-03-05,Canada,Residential,0.56
236,2020-03-07,Canada,Residential,0.06
238,2020-03-09,Canada,Residential,0.59
240,2020-03-11,Canada,Residential,0.49
242,2020-03-13,Canada,Residential,4.83
244,2020-03-15,Canada,Residential,4.09
246,2020-03-17,Canada,Residential,13.55
248,2020-03-19,Canada,Residential,17.4
250,2020-03-21,Canada,Residential,13.37
252,2020-03-23,Canada,Residential,19.96
254,2020-03-25,Canada,Residential,23.33
256,2020-03-27,Canada,Residential,25.49
258,2020-03-29,Canada,Residential,13.7
260,2020-02-17,Alberta,Retail & recreation,-7.41
262,2020-02-19,Alberta,Retail & recreation,3.12
264,2020-02-21,Alberta,Retail & recreation,2.43
266,2020-02-23,Alberta,Retail & recreation,3.62
268,2020-02-25,Alberta,Retail & recreation,1.95
270,2020-02-27,Alberta,Retail & recreation,7.26
272,2020-02-29,Alberta,Retail & recreation,5.32
274,2020-03-02,Alberta,Retail & recreation,4.33
276,2020-03-04,Alberta,Retail & recreation,4.38
278,2020-03-06,Alberta,Retail & recreation,4.09
280,2020-03-08,Alberta,Retail & recreation,-0.94
282,2020-03-10,Alberta,Retail & recreation,2.31
284,2020-03-12,Alberta,Retail & recreation,4.36
286,2020-03-14,Alberta,Retail & recreation,-18.71
288,2020-03-16,Alberta,Retail & recreation,-11.01
290,2020-03-18,Alberta,Retail & recreation,-31.02
292,2020-03-20,Alberta,Retail & recreation,-38.2
294,2020-03-22,Alberta,Retail & recreation,-48.93
296,2020-03-24,Alberta,Retail & recreation,-48.08
298,2020-03-26,Alberta,Retail & recreation,-47.31
300,2020-03-28,Alberta,Retail & recreation,-54.91
302,2020-02-16,Alberta,Grocery & pharmacy,-1.69
304,2020-02-18,Alberta,Grocery & pharmacy,0.63
306,2020-02-20,Alberta,Grocery & pharmacy,8.72
308,2020-02-22,Alberta,Grocery & pharmacy,6.54
310,2020-02-24,Alberta,Grocery & pharmacy,1.13
312,2020-02-26,Alberta,Grocery & pharmacy,7.42
314,2020-02-28,Alberta,Grocery & pharmacy,10.82
101,2020-03-01,Canada,Parks,22.94
103,2020-03-03,Canada,Parks,8.4
105,2020-03-05,Canada,Parks,17.52
106,2020-03-06,Canada,Parks,5.6
107,2020-03-07,Canada,Parks,17.21
108,2020-03-08,Canada,Parks,49.76
